id,slug,link,primary_image_url,primary_image_caption
9954,2024/12/09/24-hours-in-the-student-center-basement,https://cheesegratermagazine.org/2024/12/09/24-hours-in-the-student-center-basement/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/2W3A0204-1-1100x734.jpg,The Gates to Hell... Credit: UCL
9938,2024/12/08/we-have-taken-your-boyfriend-ucl-student-targeted-in-tailored-ai-phone-scam,https://cheesegratermagazine.org/2024/12/08/we-have-taken-your-boyfriend-ucl-student-targeted-in-tailored-ai-phone-scam/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/sophia-e1733689465663.jpg,Scammer at work... Photograph by Sophia Marmion
9932,2024/12/08/revealed-universities-admitting-students-with-poor-english-proficiency,https://cheesegratermagazine.org/2024/12/08/revealed-universities-admitting-students-with-poor-english-proficiency/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/240524_J-TYE_UCL_239_Graduation-2024_6330-1100x735.jpg,"UCL boasts 25,000 overseas students - 51% of the student body - in 2023/24. Photograph by James Tye via UCL Imagestore"
9874,2024/12/07/year-abroad-student-in-2-000-debt-after-turing-scheme-payment-delays,https://cheesegratermagazine.org/2024/12/07/year-abroad-student-in-2000-debt-after-turing-scheme-payment-delays/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/ABS-Policy-Paper-No29-UK-EU-Relationship-1320x880-1-1100x733.jpg,The Turing Scheme replaced the EU’s Erasmus+ in 2021. Photograph by Gary Knight/CC0 1.0
9814,2024/12/04/ucl-medics-back-nhs-privatisation-in-debate,https://cheesegratermagazine.org/2024/12/04/medics-vote-in-favour-of-nhs-privatisation-motion-in-debate/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/unnamed.jpg,Clash...  Photograph: James Balloqui and Robin Elfsberg/The Cheese Grater
9724,2024/12/02/episode-1-what-was-the-union-president-doing-at-cop29,https://cheesegratermagazine.org/2024/12/02/grater-insight-episode-1/,,
9658,2024/12/01/shrek-review-sellout-musical-takes-the-bloomsbury-by-storm,https://cheesegratermagazine.org/2024/12/01/shrek-review-sellout-musical-takes-the-bloomsbury-by-storm/,https://cheesegratermagazine.org/wp-content/uploads/2024/12/20241130_194725_deblurred_cropped-1100x740.jpg,“Get out of my swamp!” Oliver Sykes as Shrek at the Bloomsbury Theatre.  Photograph: Nick Miao/The Cheese Grater
9524,2024/11/24/ucl-s-harm-reduction-policy-is-a-victory-for-compassion-and-common-sense,https://cheesegratermagazine.org/2024/11/24/ucls-harm-reduction-policy-is-a-victory-for-compassion-and-common-sense/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/UCL20Apr2010_0018-1100x734.jpg,Credit: Mary Hinkley/UCL Media Services via UCL Imagestore
9303,2024/11/24/the-cheese-grater-s-guide-to-london,https://cheesegratermagazine.org/2024/11/24/the-cheese-graters-guide-to-london/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/bing-bong1-1100x641.webp,Graphic by Kotryna Taujanskaite
9231,2024/11/24/ucl-deserves-a-culture-of-debate-and-discourse,https://cheesegratermagazine.org/2024/11/24/ucl-deserves-a-culture-of-debate-and-discourse/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-22-at-7.39.18-AM-1100x825.jpeg,Over 300 attended the King's cross-party debate on Thursday evening (Credit: Ben Scanlan)
